Dist.Name,Latitude,Longitude,"School Name",Address,Dist.Code,Enroll,Free,"% Free",Reduced,"% Reduced",Eligible,"% Eligible",County,"Accuracy Score",Latitude,Longitude,"Accuracy Score"
"Easton School Department",,,"Easton Elementary School","173 Center Rd, Easton, ME  04740",1053,112,49,43.75,13,11.61,62,55.36,Aroostook,0,46.641909202381,-67.906317869048,1
"Easton School Department",,,"Easton Junior-Senior High Sch","173 Center Rd, Easton, ME  04740",1053,63,22,34.92,8,12.7,30,47.62,Aroostook,0,46.641909202381,-67.906317869048,1
"Madawaska School Department",47.34286,-68.33099,"Madawaska Elementary School","Madawaska Elementary School, Maine",1097,240,90,37.5,17,7.08,107,44.58,Aroostook,0.67,47.342860,-68.330990,0.67
"Madawaska School Department",47.34286,-68.33099,"Madawaska Middle/High School","Madawaska Middle/High School, Maine",1097,240,69,28.75,22,9.17,91,37.92,Aroostook,0.67,47.342860,-68.330990,0.67
"Msad 27",47.04948,-68.58616,"Eagle Lake Elem/Jr High School","Eagle Lake Elem/Jr High School, Maine",1221,56,18,32.14,3,5.36,21,37.5,Aroostook,0.67,47.049480,-68.586160,0.67
"Msad 27",47.26484,-68.58101,"Fort Kent Community High School","Fort Kent Community High School, Maine",1221,336,188,55.95,44,13.1,232,69.05,Aroostook,0.67,47.264840,-68.581010,0.67
"Msad 27",47.26484,-68.58101,"Fort Kent Elementary School","Fort Kent Elementary School, Maine",1221,376,174,46.28,23,6.12,197,52.39,Aroostook,0.67,47.264840,-68.581010,0.67
"Msad 27",,,"St Francis Elementary School","857 Main St, St Francis, ME, 04774",1221,29,20,68.97,1,3.45,21,72.41,Aroostook,0,47.169735344828,-68.894387034483,1
"Msad 27",47.129484,-68.597268,"Wallagrass Elementary School","Wallagrass Elementary School, Wallagrass, Maine",1221,72,38,52.78,8,11.11,46,63.89,Aroostook,0.53,39.491247,-77.343542,0.67
"New Sweden School Department",46.94171,-68.12059,"New Sweden Consolidated School","New Sweden Consolidated School, Maine",1116,64,35,54.69,11,17.19,46,71.88,Aroostook,0.67,46.941710,-68.120590,0.67
"Opportunity Training Center",,,"Opportunity Training Center","25 Lombard St, Presque Isle, ME  04769",1386,25,15,60,4,16,19,76,Aroostook,0,46.715072,-68.012557,0.33
"Rsu 29/Msad 29",,,"Houlton Elementary School","60 South St, Houlton, ME  04730",1223,443,283,63.88,25,5.64,308,69.53,Aroostook,0,46.11173,-67.846707,1
"Rsu 29/Msad 29",,,"Houlton High School","7 Bird St, Houlton, ME  04730",1223,348,143,41.09,34,9.77,177,50.86,Aroostook,0,46.12688,-67.826861,1
"Rsu 29/Msad 29",,,"Houlton Junior High School","Houlton Junior High School, Maine",1223,189,90,47.62,20,10.58,110,58.2,Aroostook,0,,,0
"Rsu 29/Msad 29",,,"Houlton Southside School","65 South St, Houlton, ME  04730",1223,284,141,49.65,29,10.21,170,59.86,Aroostook,0,46.111758055556,-67.846706444444,0.8
"Rsu 29/Msad 29",45.039778,-69.597273,"Wellington School","Wellington School, Maine",1223,67,46,68.66,4,5.97,50,74.63,Aroostook,0.6,45.039778,-69.597273,0.6
"Rsu 32/Msad 32",46.63115,-68.40615,"Ashland District School","Ashland District School, Ashland, Maine",1226,316,145,45.89,34,10.76,179,56.65,Aroostook,0.67,37.673946,-122.084820,0.53
"Rsu 33/Msad 33",,,"Dr Levesque Elementary School","443 U.S. 1, Frenchville, mE  04745",1227,122,55,45.08,4,3.28,59,48.36,Aroostook,0,47.282101,-68.388783,0.33
"Rsu 33/Msad 33",,,"Wisdom Middle High School","368 Main St, St. Agatha, ME  04772",1227,145,47,32.41,17,11.72,64,44.14,Aroostook,0,47.243160555556,-68.313846111111,1
"Rsu 39",,,"Caribou High School","308 Sweden St, Caribou, ME  04736",3174,471,164,34.82,23,4.88,187,39.7,Aroostook,0,46.8646085,-68.031920833333,1
"Rsu 39",,,"Caribou Middle School","21 Glenn St, Caribou, ME  04736",3174,278,104,37.41,18,6.47,122,43.88,Aroostook,0,46.862210666667,-68.006997,1
"Rsu 39",,,"Hilltop Elementary School","19 Marshall Ave, Caribou, ME  04736",3174,306,161,52.61,20,6.54,181,59.15,Aroostook,0,46.8483365,-68.015543333333,1
