Stratton Elementary School,584,584.2,639.1
Strong Elementary School,589.3,582,672.2
Surry Elementary School,614.1,615.1,706.8
Suzanne M Smith Elementary School,449.1,449,543.9
Swans Island Elementary School,533.6,533.7,751.3
Sylvio J Gilbert School,493.1,493.8,542.8
T W Kelly Dirigo Middle School,741.1,752.5,845.2
Teague Park School,391.1,390.5,
Telstar Middle School,747.2,753.5,845.4
Teresa C Hamlin Elem School,426.7,430.1,542.5
The School at Sweetser--Belfast,568.7,576.3,715.3
The School at Sweetser--Saco,707.9,723.5,779.6
Thomas J McMahon Elementary Sch,485.2,484.4,536.1
Thomaston Grammar School,689,696.5,696
Thornton Academy,739.5,748,837.1
Tremont Consolidated School,612.3,610.5,724.7
Trenton Elementary School,613.6,611.8,717.1
Tripp Middle School,787.6,796.1,847.6
Troy A Howard Middle School,745.8,754,846.5
Troy Central School,479.8,481.9,541.3
Turner Elementary School,557.8,557.2,545.6
Turner Primary School,344.5,342.6,
Union Elementary,491.3,490.6,539.9
Unity Elementary School,470.2,473.5,542.5
Van Buren Elementary School,604.3,607,697.1
Vanceboro Elementary School,611.1,618.3,682.3
Vassalboro Community School,608.8,611.5,720.3
Veazie Community School,595.3,596.2,707.6
Vickery School,385.9,388.7,
Village Elementary School-Gorham,448.7,446.8,545.5
Vinalhaven School,578.6,577.8,666.2
Vine Street School,353.7,347,
Viola Rand School,471.5,464.4,551.5
Vivian E Hussey Primary,399.4,396.6,
W G Mallett School,344.5,343.4,
Waldo T Skillin Elementary School,444.5,445.6,538.8
Wales Central School,608.7,614.9,689.8
Walker Memorial School,489.8,495,542.9
Wallagrass Elementary School,504.6,504.8,537.7
Walton School,465.3,463.6,547.3
Warren Community School,499.7,498.8,541.4
Warsaw Middle School,685.4,693.9,687.4
Washburn District Elem School,598.9,607.8,670.2
Washburn School,493.1,489,541.7
Washington Street School Bldg,341.1,342.9,
Waterboro Elementary School,498.2,494.5,544.2
Waterford Memorial School,492.3,491.5,537.6
Waterville Junior High School,746.6,753,845.9
Wayne Elementary School,482.7,483,541.7
Wellington School,350.3,343.1,
Wells Elementary School,409.5,404.5,
Wells Junior High School,699.6,700.3,693.7
Wentworth School,453.7,454.3,546.9
Wesley Elementary School,618,626.4,696
West Bath School,471.5,470,546.4
West Harpswell Elementary School,437.8,430.9,547.7
Westbrook Middle School,744.1,749.2,843.4
Whitefield Elementary School,621.2,624.5,715.4
Whiting Village School,624.6,631.3,706
Willard School,545.6,544.4,542.4
William S. Cohen School,755,755.5,855.7
Williams Elementary School,451.3,449.5,543.2
Williams-Cone School,447.8,445.4,546.3
Windham Middle School,745.4,748.6,847.8
Windham Primary School,349.4,346.8,
Windsor Elementary School,586.2,590.2,667.2
Winslow Elementary School,445.8,444.4,543.9
Winslow Junior High School,732.5,740.5,846.2
Winthrop Grade School,461.9,454.2,545.9
Winthrop Middle School,747.7,752,848.9
Wiscasset Middle School,694.6,701.5,694.1
Wiscasset Primary School,386.6,388.6,
Wisdom Middle High School,780.3,793.9,842.4
Woodland Consolidated Sch,611.1,611.2,697.9
Woodland Elementary School,505.5,508.1,537.9
Woodland Jr-Sr High School,803.5,806.8,840.1
Woodside Elementary School,450.8,449.7,547.1
Woodstock School,467.3,465.9,543.6
Woolwich Central School,609.4,609.7,713.9
Yarmouth Elementary School,413.6,408.1,
York Middle School,701.9,702.2,700.8
