Morison Memorial School,59.1
Morse High School,34
Morse Memorial School,64.7
Morse Street School,22.5
Moscow Elementary,63.3
Mountain Valley High School,68.2
Mountain Valley Middle School,75
Mountain View School,69.1
Mountain View Youth Dev Ctr,100
Mt Abram Regional High School,58.8
Mt Ararat High School,27.9
Mt Ararat Middle School,33.2
Mt Blue High School,44.5
Mt Blue Middle School,52.7
Mt Desert Elementary School,12.4
Mt Desert Island High School,26.2
Mt Jefferson Jr High School,74.7
Mt Vernon Elementary School,45.7
Mt View Elementary School,59.6
Mt View High School,51.4
Mt View Middle School,62.8
Narragansett Elementary School,31
Narraguagus High School,56.9
New Suncook School,53.2
New Sweden Consolidated School,64.7
Newburgh Elementary School,13.3
Newport Elementary School,58.7
Noble High School,42.3
Noble Middle School,42.9
Nobleboro Central School,49.2
Nokomis Regional High School,53.4
North Berwick Elementary Schools,33.7
North Elementary School,70.3
North Yarmouth Memorial School,7.3
Oak Hill High School,37.8
Oak Hill Middle School,44.5
Ocean Avenue,49.2
Oceanside High School East,49.3
Oceanside High School West,58.9
Old Orchard Beach High School,42.1
Old Town Elementary School,51.7
Old Town High School,38
Opal Myrick Elementary School,66.7
Orono High School,23.8
Orono Middle School,27.8
Otisfield Community School,49.4
Owls Head Central School,44.3
Oxford Elementary School,78.6
Oxford Hills Comprehensive H S,58.8
Oxford Hills Middle School,67
Oxford-Cumberland Canal School,67.3
Palermo Consolidated School,38.3
Paris Elementary School,68
Park Avenue Elementary School,60.3
Peaks Island School,17.5
Pembroke Elementary School,61
Pemetic Elementary School,29.1
Peninsula School,65.2
Penobscot Elementary School,49.3
Penobscot Valley High School,59.6
Penquis Valley High School,70.9
Perry Elementary School,62.9
Philip W Sugg Middle School,55.3
Phillips Elementary School,73.8
Phippsburg Elementary School,37.1
Pine Street Elementary School,55.4
Piscataquis Community Elementary,69.1
Piscataquis Community Secondary Sch,57
Pittston Consolidated School,43.8
Pleasant Hill School,12.3
Poland Community School,39.8
Poland Regional H S,27.9
Pond Cove Elementary,5.7
Portland High School,52.8
Pownal Elementary School,13.8
Prescott Memorial School,59.6
Presque Isle High School,46.2
Presque Isle Middle School,52.3
Presumpscot School,74.9
Princeton Elementary School,69.9
Quimby Middle School,55.4
Ralph M Atwood Primary School,21.2
Rangeley Lakes Regional School,37.6
Raymond A. Geiger Elementary School,62
Raymond Elementary School,33.9
Readfield Elementary School,39.4
Reeds Brook Middle School,22
Richmond High School,47.6
Richmond Middle School,48.4
Ridge View Community School,63.6
River View Community School,56.1
Riverton School,73.2
Robbinston Grade School,55.6
Robert W Traip Academy,27
Rockland District Middle School,57.8
Rose M Gaffney School,61.9
Rumford Elementary,76.2
Russell School,36.8
Sabattus Primary School,52.7
Saccarappa School,69.1
Saco Middle School,32
Saco Transition Program,93.8
Sacopee Valley High Sch,54.1
Sacopee Valley Middle School,55.1
SAD #53 Alternative Education,5.6
SAD 70 Hodgdon High School,54.7
Samuel L Wagner Middle School,43.3
Sanford High School,53.1
Sanford Jr High School,63.2
Scarborough High School,16.2
Scarborough Middle School,16.5
Schenck High School,55.8
Se Do Mo Cha Elementary School,59.7
Se Do Mo Cha Middle School,52.4
Searsport District High School,59.6
