Dist.Name,Latitude,Longitude,School Name,Address,ZIP,Dist.Code,Enroll,Free,% Free,Reduced,% Reduced,Eligible,% Eligible,County,Accuracy Score,Latitude,Longitude,Accuracy Score
Msad 76,44.15842,-68.42946,Swans Island Elementary School,"Swans Island Elementary School, Maine",,1267,36,14,38.89,4,11.11,18,50,Hancock,0.67,44.15842,-68.42946,0.67
Penobscot School Department,44.433911,-68.721716,Penobscot Elementary School,"Penobscot Elementary School, Maine",,1128,70,30,42.86,8,11.43,38,54.29,Hancock,0.67,44.433911,-68.721716,0.67
Rsu 24,44.477935,-68.356311,Ellsworth Elementary-Middle School,"Ellsworth Elementary-Middle School, Maine",,3169,830,275,33.13,50,6.02,325,39.16,Hancock,0.67,44.477935,-68.356311,0.67
Rsu 24,44.477935,-68.356311,Ellsworth High School,"Ellsworth High School, Maine",,3169,554,138,24.91,26,4.69,164,29.6,Hancock,0.67,44.477935,-68.356311,0.67
Rsu 24,44.52924,-68.25363,Hancock Grammar School,"Hancock Grammar School, Maine",,3169,213,84,39.44,17,7.98,101,47.42,Hancock,0.67,44.52924,-68.25363,0.67
Sedgwick School Department,44.399111,-68.701228,Sedgwick Elementary School,"Sedgwick Elementary School, Maine",,1150,97,59,60.82,7,7.22,66,68.04,Hancock,0.67,44.399111,-68.701228,0.67
Trenton School Department,44.438967,-68.370018,Trenton Elementary School,"Trenton Elementary School, Maine",,1163,124,56,45.16,18,14.52,74,59.68,Hancock,0.53,44.438967,-68.370018,0.53
Becket Family Of Services,44.52645,-69.887,Belgrade House,"Belgrade House, Maine",,5027,12,12,100,0,0,12,100,Kennebec,0.67,44.52645,-69.887,0.67
Rsu 11/Msad 11,44.23007,-69.77532,Gardiner Area High School,"Gardiner Area High School, Maine",,1205,611,194,31.75,36,5.89,230,37.64,Kennebec,0.67,44.23007,-69.77532,0.67
Rsu 11/Msad 11,44.23007,-69.77532,Gardiner Regional Middle School,"Gardiner Regional Middle School, Maine",,1205,485,187,38.56,44,9.07,231,47.63,Kennebec,0.67,44.23007,-69.77532,0.67
Rsu 11/Msad 11,44.221737,-69.7556,Pittston Consolidated School,"Pittston Consolidated School, Maine",,1205,191,78,40.84,24,12.57,102,53.4,Kennebec,0.53,44.221737,-69.7556,0.53
Rsu 12 Sheepscot Valley Regional School Unit,44.31063,-69.5806,Windsor Elementary School,"Windsor Elementary School, Maine",,3160,318,146,45.91,31,9.75,177,55.66,Kennebec,0.67,44.31063,-69.5806,0.67
Rsu 18,44.52645,-69.887,Belgrade Central School,"Belgrade Central School, Maine",,3164,311,124,39.87,19,6.11,143,45.98,Kennebec,0.67,44.52645,-69.887,0.67
Rsu 38,44.358014,-69.867001,Manchester Elementary School,"Manchester Elementary School, Maine",,3173,189,43,22.75,12,6.35,55,29.1,Kennebec,0.67,44.358014,-69.867001,0.67
Rsu 38,44.38484,-69.953716,Readfield Elementary School,"Readfield Elementary School, Maine",,3173,177,47,26.55,17,9.6,64,36.16,Kennebec,0.67,44.38484,-69.953716,0.67
Rsu 49/Msad 49,44.6501,-69.48575,Clinton Elementary School,"Clinton Elementary School, Maine",,1243,258,169,65.5,15,5.81,184,71.32,Kennebec,0.67,44.6501,-69.48575,0.67
Vassalboro School Department,44.427757,-69.635908,Vassalboro Community School,"Vassalboro Community School, Maine",,1166,430,221,51.4,29,6.74,250,58.14,Kennebec,0.67,44.427757,-69.635908,0.67
Waterville Public Schools,44.549225,-69.713178,Waterville Junior High School,"Waterville Junior High School, Maine",,1170,387,223,57.62,21,5.43,244,63.05,Kennebec,0.67,44.549225,-69.713178,0.67
Waterville Public Schools,44.549225,-69.713178,Waterville Senior High School,"Waterville Senior High School, Maine",,1170,603,298,49.42,48,7.96,346,57.38,Kennebec,0.67,44.549225,-69.713178,0.67
Winthrop Public Schools,44.322865,-69.957627,Winthrop Grade School,"Winthrop Grade School, Maine",,1185,406,177,43.6,15,3.69,192,47.29,Kennebec,0.67,44.322865,-69.957627,0.67
Winthrop Public Schools,44.322865,-69.957627,Winthrop High School,"Winthrop High School, Maine",,1185,233,63,27.04,13,5.58,76,32.62,Kennebec,0.67,44.322865,-69.957627,0.67
Winthrop Public Schools,44.322865,-69.957627,Winthrop Middle School,"Winthrop Middle School, Maine",,1185,202,59,29.21,17,8.42,76,37.62,Kennebec,0.67,44.322865,-69.957627,0.67
Appleton School Department,44.289243,-69.250877,Appleton Village School,"Appleton Village School, Maine",,1004,142,47,33.1,15,10.56,62,43.66,Knox,0.53,44.289243,-69.250877,0.53
Rsu 08/Msad 08,44.08511,-68.841965,Vinalhaven School,"Vinalhaven School, Maine",,1202,178,78,43.82,22,12.36,100,56.18,Knox,0.67,44.08511,-68.841965,0.67
Rsu 13,,,Cushing Community School,"54 Cross Rd, Cushing, ME  ",,3161,73,33,45.21,8,10.96,41,56.16,Knox,0,44.02224979,-69.257272,1
Rsu 13,44.07993,-69.18015,Thomaston Grammar School,"Thomaston Grammar School, Maine",,3161,130,63,48.46,11,8.46,74,56.92,Knox,0.67,44.07993,-69.18015,0.67
Rsu 40/Msad 40,43.98369,-69.33394,Friendship Village School,"Friendship Village School, Maine",,1234,97,38,39.18,11,11.34,49,50.52,Knox,0.67,43.98369,-69.33394,0.67
Aos 93 Central Lincoln County School System,43.95758,-69.50921,Bristol Consolidated School,"Bristol Consolidated School, Maine",,3178,169,61,36.09,12,7.1,73,43.2,Lincoln,0.67,43.95758,-69.50921,0.67
Aos 93 Central Lincoln County School System,44.220432,-69.513293,Jefferson Village School,"Jefferson Village School, Maine",,3178,187,80,42.78,19,10.16,99,52.94,Lincoln,0.67,44.220432,-69.513293,0.67
Aos 93 Central Lincoln County School System,44.07952,-69.48505,Nobleboro Central School,"Nobleboro Central School, Maine",,3178,135,54,40,11,8.15,65,48.15,Lincoln,0.67,44.07952,-69.48505,0.67
Aos 93 Central Lincoln County School System,43.86397,-69.56116,South Bristol Elementary School,"South Bristol Elementary School, Maine",,3178,63,26,41.27,5,7.94,31,49.21,Lincoln,0.67,43.86397,-69.56116,0.67
Lincoln Academy,44.478694,-69.149559,Lincoln Academy,"Lincoln Academy, Maine",,1364,512,114,22.27,25,4.88,139,27.15,Lincoln,0.67,44.478694,-69.149559,0.67
Rsu 02 Kennebec Intra-District,44.077448,-69.738418,Dresden Elementary School,"Dresden Elementary School, Maine",,3156,90,44,48.89,2,2.22,46,51.11,Lincoln,0.67,44.077448,-69.738418,0.67
Rsu 12 Sheepscot Valley Regional School Unit,44.188406,-69.575119,Whitefield Elementary School,"Whitefield Elementary School, Maine",,3160,184,84,45.65,13,7.07,97,52.72,Lincoln,0.67,44.188406,-69.575119,0.67
Rsu 12 Sheepscot Valley Regional School Unit,44.01151,-69.67336,Wiscasset High School,"Wiscasset High School, Maine",,3160,209,77,36.84,14,6.7,91,43.54,Lincoln,0.67,44.01151,-69.67336,0.67
