dist-code,dist-name,origname,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
516,Zzz Sad 16,Zzz Hall-Dale Elementary School New,Hall-Dale Elementary School New,361,106,29.36,23,6.37,129,35.73
516,Zzz Sad 16,Zzz Hall-Dale High School,Hall-Dale High School,385,105,27.27,28,7.27,133,34.55
516,Zzz Sad 16,Zzz Hall-Dale Middle School,Hall-Dale Middle School,206,65,31.55,16,7.77,81,39.32
547,Zzz Sad 47,Zzz Belgrade Central School,Belgrade Central School,301,75,24.92,25,8.31,100,33.22
547,Zzz Sad 47,Zzz James H Bean School,James H Bean School,363,85,23.42,26,7.16,111,30.58
547,Zzz Sad 47,Zzz Messalonskee High School,Messalonskee High School,920,168,18.26,64,6.96,232,25.22
547,Zzz Sad 47,Zzz Messalonskee Middle School,Messalonskee Middle School,584,127,21.75,55,9.42,182,31.16
547,Zzz Sad 47,Zzz Ralph M. Atwood School,Ralph M. Atwood School,233,83,35.62,17,7.3,100,42.92
547,Zzz Sad 47,Zzz Williams Elementary School,Williams Elementary School,229,77,33.62,26,11.35,103,44.98
549,Zzz Sad 49,Zzz Albion Elementary School,Albion Elementary School,154,64,41.56,24,15.58,88,57.14
549,Zzz Sad 49,Zzz Benton Elementary School,Benton Elementary School,668,268,40.12,97,14.52,365,54.64
549,Zzz Sad 49,Zzz Clinton Elementary School,Clinton Elementary School,288,141,48.96,33,11.46,174,60.42
843,Zzz Spurwink School,Zzz Spurwink - Chelsea,Spurwink - Chelsea,40,33,82.5,1,2.5,34,85
439,Zzz Vassalboro Union 52,Zzz Vassalboro Community School,Vassalboro Community School,493,144,29.21,44,8.92,188,38.13
456,Zzz Waterville,Zzz Albert S Hall School,Albert S Hall School,267,137,51.31,22,8.24,159,59.55
456,Zzz Waterville,Zzz George J Mitchell School,George J Mitchell School,606,355,58.58,48,7.92,403,66.5
456,Zzz Waterville,Zzz Waterville High School,Waterville High School,616,235,38.15,67,10.88,302,49.03
456,Zzz Waterville,Zzz Waterville Jr H S,Waterville Jr H S,432,172,39.81,50,11.57,222,51.39
457,Zzz Wayne Union 042,Zzz Wayne Elementary School,Wayne Elementary School,60,13,21.67,1,1.67,14,23.33
479,Zzz Windsor Union 133,Zzz Windsor Elementary School,Windsor Elementary School,285,78,27.37,34,11.93,112,39.3
481,Zzz Winslow Union 052,Zzz Winslow Elementary School,Winslow Elementary School,619,197,31.83,37,5.98,234,37.8
481,Zzz Winslow Union 052,Zzz Winslow High School,Winslow High School,509,124,24.36,31,6.09,155,30.45
481,Zzz Winslow Union 052,Zzz Winslow Jr High School,Winslow Jr High School,285,73,25.61,13,4.56,86,30.18
485,Zzz Winthrop,Zzz Winthop High School (New),Winthop High School (New),268,55,20.52,20,7.46,75,27.99
485,Zzz Winthrop,Zzz Winthrop Grade School,Winthrop Grade School,410,112,27.32,22,5.37,134,32.68
